Fri May 27 12:34:05 CEST 2022 User:ACM INFO - Método: main() | TRAZA INICIO
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: AbstractDAO() | Conexion BD correcta
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: LoginView.configureUIComponents() | Inicio
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: LoginView.configureUIComponents() | Fin
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: LoginView.configureListener() | Inicio
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: LoginView.configureListener() | Fin
Fri May 27 12:34:06 CEST 2022 User:ACM INFO - Método: main() | TRAZA FIN
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: LoginView.checkLogin() | Inicio
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: UserDAO.login(username, passwd) | login correcto
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: LoginView.checkLogin() | Login correcto
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: MenuView.configureUIComponents() | Inicio
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: MenuView.configureUIComponents() | Fin
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: MenuView.configureListener() | Inicio
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: MenuView.configureListener() | Fin
Fri May 27 12:34:11 CEST 2022 User:ACM INFO - Método: LoginView.checkLogin() | Fin
